fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Valter Walker,Louie Sutherland,0,0,5,3,1,0,1,0,win,Valter Walker,Heavyweight,SUB Heel Hook,1,1:24,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Nathaniel Wood,Jose Delgado,1,1,99,134,2,0,0,0,win,Nathaniel Wood,Featherweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Hamdy Abdelwahab,Chris Barnett,0,0,99,18,9,0,0,0,win,Hamdy Abdelwahab,Heavyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Mitch Raposo,Azat Maksum,0,0,30,19,0,7,0,0,win,Mitch Raposo,Flyweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Mizuki,Jaqueline Amorim,1,0,62,26,2,2,0,1,win,Mizuki,Women's Strawweight,U-DEC,3,5:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
Brendan Allen,Reinier de Ridder,0,0,22,9,1,3,1,1,win,Brendan Allen,Middleweight,KO/TKO,4,5:00,"Vancouver, British Columbia, Canada"
Mike Malott,Kevin Holland,0,0,49,52,1,1,1,0,win,Mike Malott,Welterweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada"
Aiemann Zahabi,Marlon Vera,0,1,81,56,0,0,0,0,win,Aiemann Zahabi,Bantamweight,S-DEC,3,5:00,"Vancouver, British Columbia, Canada"
Manon Fiorot,Jasmine Jasudavicius,0,0,16,2,0,0,0,0,win,Manon Fiorot,Women's Flyweight,KO/TKO Punches,1,1:14,"Vancouver, British Columbia, Canada"
Charles Jourdain,Davey Grant,1,0,25,9,0,0,1,0,win,Charles Jourdain,Bantamweight,SUB Guillotine Choke,1,3:05,"Vancouver, British Columbia, Canada"
Kyle Nelson,Matt Frevola,1,0,63,43,2,2,0,0,win,Kyle Nelson,Lightweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada"
Drew Dober,Kyle Prepolec,0,0,83,51,0,0,0,0,win,Drew Dober,Lightweight,KO/TKO Punches,3,1:16,"Vancouver, British Columbia, Canada"
Aoriqileng,Cody Gibson,1,0,5,3,0,0,0,0,win,Aoriqileng,Bantamweight,KO/TKO Punch,1,0:21,"Vancouver, British Columbia, Canada"
Bruno Silva,HyunSung Park,1,0,46,31,5,1,1,0,win,Bruno Silva,Flyweight,SUB Rear Naked Choke,3,2:15,"Vancouver, British Columbia, Canada"
Djorden Santos,Danny Barlow,0,0,99,93,0,0,0,0,win,Djorden Santos,Middleweight,U-DEC,3,5:00,"Vancouver, British Columbia, Canada"
Stephanie Luciano,Ravena Oliveira,0,0,60,24,3,0,1,0,win,Stephanie Luciano,Women's Strawweight,SUB Rear Naked Choke,3,2:50,"Vancouver, British Columbia, Canada"
Yousri Belgaroui,Azamat Bekoev,0,0,102,24,1,4,0,0,win,Yousri Belgaroui,Middleweight,KO/TKO Punches,3,0:55,"Vancouver, British Columbia, Canada"
Melissa Croden,Tainara Lisboa,1,0,99,42,2,2,0,0,win,Melissa Croden,Women's Bantamweight,KO/TKO Punches,3,4:32,"Vancouver, British Columbia, Canada"
Charles Oliveira,Mateusz Gamrot,0,0,11,18,1,1,1,0,win,Charles Oliveira,Lightweight,SUB Rear Naked Choke,2,2:48,"Rio de Janeiro, Rio de Janeiro, Brazil"
Deiveson Figueiredo,Montel Jackson,0,0,23,30,2,1,0,0,win,Deiveson Figueiredo,Bantamweight,S-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil"
Joel Alvarez,Vicente Luque,0,0,89,30,1,0,1,0,win,Joel Alvarez,Welterweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil"
Mario Pinto,Jhonata Diniz,0,0,29,1,3,0,2,0,win,Mario Pinto,Heavyweight,KO/TKO Punches,2,4:10,"Rio de Janeiro, Rio de Janeiro, Brazil"
Kaan Ofli,Ricardo Ramos,0,0,1,1,1,0,1,3,win,Kaan Ofli,Featherweight,SUB Rear Naked Choke,1,3:02,"Rio de Janeiro, Rio de Janeiro, Brazil"
Michael Aswell Jr.,Lucas Almeida,2,0,30,9,0,0,0,0,win,Michael Aswell Jr.,Featherweight,KO/TKO Punches,1,1:42,"Rio de Janeiro, Rio de Janeiro, Brazil"
Jafel Filho,Clayton Carpenter,0,0,5,7,1,0,1,0,win,Jafel Filho,Flyweight,SUB Kimura,1,4:42,"Rio de Janeiro, Rio de Janeiro, Brazil"
Vitor Petrino,Thomas Petersen,2,0,31,16,1,0,0,0,win,Vitor Petrino,Heavyweight,KO/TKO Punch,3,0:26,"Rio de Janeiro, Rio de Janeiro, Brazil"
Bia Mesquita,Irina Alekseeva,0,0,36,6,2,0,1,0,win,Bia Mesquita,Women's Bantamweight,SUB Rear Naked Choke,2,2:14,"Rio de Janeiro, Rio de Janeiro, Brazil"
Lucas Rocha,Stewart Nicoll,0,0,115,45,3,2,0,0,win,Lucas Rocha,Flyweight,U-DEC,3,5:00,"Rio de Janeiro, Rio de Janeiro, Brazil"
Julia Polastri,Karolina Kowalkiewicz,0,0,137,72,0,1,0,0,win,Julia Polastri,Women's Strawweight,KO/TKO Punches,3,2:56,"Rio de Janeiro, Rio de Janeiro, Brazil"
Luan Lacerda,Saimon Oliveira,0,0,24,21,3,1,1,0,win,Luan Lacerda,Bantamweight,SUB Armbar,2,3:55,"Rio de Janeiro, Rio de Janeiro, Brazil"
Alex Pereira,Magomed Ankalaev,0,0,28,4,0,0,0,0,win,Alex Pereira,Light Heavyweight,KO/TKO Elbows,1,1:20,"Las Vegas, Nevada, USA"
Merab Dvalishvili,Cory Sandhagen,0,0,114,80,20,0,0,0,win,Merab Dvalishvili,Bantamweight,U-DEC,5,5:00,"Las Vegas, Nevada, USA"
Jiri Prochazka,Khalil Rountree Jr.,1,0,71,66,0,0,0,0,win,Jiri Prochazka,Light Heavyweight,KO/TKO Punches,3,3:04,"Las Vegas, Nevada, USA"
Youssef Zalal,Josh Emmett,0,0,0,0,1,0,1,0,win,Youssef Zalal,Featherweight,SUB Armbar,1,1:38,"Las Vegas, Nevada, USA"
Joe Pyfer,Abus Magomedov,1,0,6,11,0,1,2,1,win,Joe Pyfer,Middleweight,SUB Rear Naked Choke,2,1:46,"Las Vegas, Nevada, USA"
Ateba Gautier,Tre'ston Vines,1,0,6,0,1,0,0,0,win,Ateba Gautier,Middleweight,KO/TKO Punches,1,1:41,"Las Vegas, Nevada, USA"
Daniel Santos,JooSang Yoo,1,0,27,31,1,0,0,0,win,Daniel Santos,Catch Weight,KO/TKO Punch,2,0:21,"Las Vegas, Nevada, USA"
Jakub Wiklacz,Patchy Mix,0,0,46,37,0,5,3,0,win,Jakub Wiklacz,Bantamweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA"
Edmen Shahbazyan,Andre Muniz,1,0,25,15,0,1,0,0,win,Edmen Shahbazyan,Middleweight,KO/TKO Elbows,1,4:58,"Las Vegas, Nevada, USA"
Punahele Soriano,Nikolay Veretennikov,0,0,39,9,4,0,1,2,win,Punahele Soriano,Welterweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Yana Santos,Macy Chiasson,0,0,65,54,0,2,0,1,win,Yana Santos,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Farid Basharat,Chris Gutierrez,0,0,41,31,2,1,0,0,win,Farid Basharat,Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Ramiz Brahimaj,Austin Vanderford,0,0,21,5,0,3,2,0,win,Ramiz Brahimaj,Welterweight,SUB Guillotine Choke,2,2:24,"Las Vegas, Nevada, USA"
Veronica Hardy,Brogan Walker,1,0,39,22,0,3,1,0,win,Veronica Hardy,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA"
Carlos Ulberg,Dominick Reyes,1,0,11,5,0,0,0,0,win,Carlos Ulberg,Light Heavyweight,KO/TKO Punches,1,4:27,"Perth, Western Australia, Australia"
Jimmy Crute,Ivan Erslan,0,0,12,10,2,0,1,0,win,Jimmy Crute,Light Heavyweight,SUB Rear Naked Choke,1,3:19,"Perth, Western Australia, Australia"
Jack Jenkins,Ramon Taveras,0,0,65,43,3,0,1,0,win,Jack Jenkins,Featherweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Neil Magny,Jake Matthews,0,0,31,18,3,0,1,3,win,Neil Magny,Welterweight,SUB D'Arce Choke,3,3:08,"Perth, Western Australia, Australia"
Tom Nolan,Charlie Campbell,0,0,26,15,1,0,1,0,win,Tom Nolan,Lightweight,SUB Rear Naked Choke,1,4:08,"Perth, Western Australia, Australia"
Navajo Stirling,Rodolfo Bellato,0,0,81,43,1,2,0,0,win,Navajo Stirling,Light Heavyweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Cam Rowston,Andre Petroski,1,0,12,7,0,0,0,0,win,Cam Rowston,Middleweight,KO/TKO Punches,1,2:41,"Perth, Western Australia, Australia"
Jamie Mullarkey,Rolando Bedoya,0,0,43,46,3,0,0,1,win,Jamie Mullarkey,Lightweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Colby Thicknesse,Josias Musasa,0,0,62,43,2,1,1,0,win,Colby Thicknesse,Bantamweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Michelle Montague,Luana Carolina,0,0,41,48,5,0,0,1,win,Michelle Montague,Women's Bantamweight,U-DEC,3,5:00,"Perth, Western Australia, Australia"
Brando Pericic,Elisha Ellison,0,0,29,3,0,0,0,0,win,Brando Pericic,Heavyweight,KO/TKO Punches,1,1:55,"Perth, Western Australia, Australia"
