fighter_1,fighter_2,date,location,referee,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,title_fight
Nathaniel Wood,Jose Delgado,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Jason Herzog,1,1,99,134,2,0,0,0,win,Nathaniel Wood,Featherweight,U-DEC,3,00:05:00,False
Hamdy Abdelwahab,Chris Barnett,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Marc Goddard,0,0,99,18,9,0,0,0,win,Hamdy Abdelwahab,Heavyweight,U-DEC,3,00:05:00,False
Mitch Raposo,Azat Maksum,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Rich Mitchell,0,0,30,19,0,7,0,0,win,Mitch Raposo,Flyweight,U-DEC,3,00:05:00,False
Mizuki,Jaqueline Amorim,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Kerry Hatley,1,0,62,26,2,2,0,1,win,Mizuki,Women's Strawweight,U-DEC,3,00:05:00,False
Brendan Allen,Reinier de Ridder,2025-10-18,"Vancouver, British Columbia, Canada",Jason Herzog,0,0,22,9,1,3,1,1,win,Brendan Allen,Middleweight,KO/TKO,4,00:05:00,False
Mike Malott,Kevin Holland,2025-10-18,"Vancouver, British Columbia, Canada",Dan Miragliotta,0,0,49,52,1,1,1,0,win,Mike Malott,Welterweight,U-DEC,3,00:05:00,False
Aiemann Zahabi,Marlon Vera,2025-10-18,"Vancouver, British Columbia, Canada",Jason Herzog,0,1,81,56,0,0,0,0,win,Aiemann Zahabi,Bantamweight,S-DEC,3,00:05:00,False
Manon Fiorot,Jasmine Jasudavicius,2025-10-18,"Vancouver, British Columbia, Canada",Dan Miragliotta,0,0,16,2,0,0,0,0,win,Manon Fiorot,Women's Flyweight,KO/TKO Punches,1,00:01:14,False
Charles Jourdain,Davey Grant,2025-10-18,"Vancouver, British Columbia, Canada",Jason Herzog,1,0,25,9,0,0,1,0,win,Charles Jourdain,Bantamweight,SUB Guillotine Choke,1,00:03:05,False
Kyle Nelson,Matt Frevola,2025-10-18,"Vancouver, British Columbia, Canada",Dan Miragliotta,1,0,63,43,2,2,0,0,win,Kyle Nelson,Lightweight,U-DEC,3,00:05:00,False
Drew Dober,Kyle Prepolec,2025-10-18,"Vancouver, British Columbia, Canada",John Cooper,0,0,83,51,0,0,0,0,win,Drew Dober,Lightweight,KO/TKO Punches,3,00:01:16,False
Aoriqileng,Cody Gibson,2025-10-18,"Vancouver, British Columbia, Canada",Mitch Cadlick,1,0,5,3,0,0,0,0,win,Aoriqileng,Bantamweight,KO/TKO Punch,1,00:00:21,False
Bruno Silva,HyunSung Park,2025-10-18,"Vancouver, British Columbia, Canada",Sal Ram,1,0,46,31,5,1,1,0,win,Bruno Silva,Flyweight,SUB Rear Naked Choke,3,00:02:15,False
Djorden Santos,Danny Barlow,2025-10-18,"Vancouver, British Columbia, Canada",John Cooper,0,0,99,93,0,0,0,0,win,Djorden Santos,Middleweight,U-DEC,3,00:05:00,False
Stephanie Luciano,Ravena Oliveira,2025-10-18,"Vancouver, British Columbia, Canada",Mitch Cadlick,0,0,60,24,3,0,1,0,win,Stephanie Luciano,Women's Strawweight,SUB Rear Naked Choke,3,00:02:50,False
Yousri Belgaroui,Azamat Bekoev,2025-10-18,"Vancouver, British Columbia, Canada",Sal Ram,0,0,102,24,1,4,0,0,win,Yousri Belgaroui,Middleweight,KO/TKO Punches,3,00:00:55,False
Melissa Croden,Tainara Lisboa,2025-10-18,"Vancouver, British Columbia, Canada",John Cooper,1,0,99,42,2,2,0,0,win,Melissa Croden,Women's Bantamweight,KO/TKO Punches,3,00:04:32,False
Charles Oliveira,Mateusz Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Marc Goddard,0,0,11,18,1,1,1,0,win,Charles Oliveira,Lightweight,SUB Rear Naked Choke,2,00:02:48,False
Deiveson Figueiredo,Montel Jackson,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jason Herzog,0,0,23,30,2,1,0,0,win,Deiveson Figueiredo,Bantamweight,S-DEC,3,00:05:00,False
Joel Alvarez,Vicente Luque,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Osiris Maia,0,0,89,30,1,0,1,0,win,Joel Alvarez,Welterweight,U-DEC,3,00:05:00,False
Mario Pinto,Jhonata Diniz,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Joao Claudio Soares,0,0,29,1,3,0,2,0,win,Mario Pinto,Heavyweight,KO/TKO Punches,2,00:04:10,False
Kaan Ofli,Ricardo Ramos,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Marc Goddard,0,0,1,1,1,0,1,3,win,Kaan Ofli,Featherweight,SUB Rear Naked Choke,1,00:03:02,False
Michael Aswell Jr.,Lucas Almeida,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Jason Herzog,2,0,30,9,0,0,0,0,win,Michael Aswell Jr.,Featherweight,KO/TKO Punches,1,00:01:42,False
Jafel Filho,Clayton Carpenter,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",Osiris Maia,0,0,5,7,1,0,1,0,win,Jafel Filho,Flyweight,SUB Kimura,1,00:04:42,False
